id,agent_id,content,memory_type,importance,created_at
mem_agent_002_0056,agent_002,Unit tests improve code reliability and maintainability,fact,0.78,2026-12-13T22:08:31.695262
mem_agent_002_0057,agent_002,TypeScript provides static typing for JavaScript (variant 2),fact,0.64,2026-06-23T22:08:31.695262
mem_agent_002_0058,agent_002,Selected React for component reusability (variant 2),decision,0.61,2027-02-08T22:08:31.695262
mem_agent_002_0059,agent_002,Code complexity increased with new features,observation,0.63,2026-07-05T22:08:31.695262
mem_agent_002_0060,agent_002,Default memory (variant 3),conversation,0.94,2026-09-28T22:08:31.695262
mem_agent_002_0061,agent_002,Added comprehensive test coverage,decision,0.33,2026-07-05T22:08:31.695262
mem_agent_002_0062,agent_002,Default memory,conversation,0.89,2026-05-24T22:08:31.695262
mem_agent_002_0063,agent_002,TypeScript provides static typing for JavaScript (variant 3),fact,0.73,2026-08-13T22:08:31.695262
mem_agent_002_0064,agent_002,Docker containerizes applications for deployment (variant 2),fact,0.78,2026-09-24T22:08:31.695262
mem_agent_002_0065,agent_002,Implemented Docker for consistent environments,decision,0.74,2026-11-14T22:08:31.695262
mem_agent_002_0066,agent_002,Default memory,conversation,0.73,2026-10-04T22:08:31.695262
mem_agent_002_0067,agent_002,Default memory (variant 3),conversation,0.58,2026-07-16T22:08:31.695262
mem_agent_002_0068,agent_002,Added comprehensive test coverage (variant 2),decision,0.97,2026-05-14T22:08:31.695262
mem_agent_002_0069,agent_002,Implemented Docker for consistent environments (variant 3),decision,0.96,2026-04-19T22:08:31.695262
mem_agent_002_0070,agent_002,Added comprehensive test coverage (variant 3),decision,0.9,2026-10-07T22:08:31.695262
mem_agent_002_0071,agent_002,Default memory,conversation,0.57,2026-12-21T22:08:31.695262
mem_agent_002_0072,agent_002,Default memory (variant 2),conversation,0.54,2026-07-31T22:08:31.695262
mem_agent_002_0073,agent_002,Default memory (variant 2),conversation,0.76,2026-11-27T22:08:31.695262
mem_agent_002_0074,agent_002,Git enables collaborative software development (variant 3),fact,0.86,2027-01-20T22:08:31.695262
mem_agent_002_0075,agent_002,React is a JavaScript library for building UIs (variant 3),fact,0.78,2026-10-14T22:08:31.695262
mem_agent_002_0076,agent_002,Default memory (variant 3),conversation,0.84,2027-04-05T22:08:31.695262
mem_agent_002_0077,agent_002,Default memory (variant 2),conversation,0.78,2026-07-18T22:08:31.695262
mem_agent_002_0078,agent_002,Docker containerizes applications for deployment (variant 3),fact,0.52,2027-04-01T22:08:31.695262
mem_agent_002_0079,agent_002,Default memory,conversation,0.76,2027-04-09T22:08:31.695262
mem_agent_002_0080,agent_002,Default memory (variant 3),conversation,0.41,2026-11-29T22:08:31.695262
mem_agent_002_0081,agent_002,Adopted feature branch workflow,decision,0.57,2027-03-22T22:08:31.695262
mem_agent_002_0082,agent_002,Docker containerizes applications for deployment,fact,0.39,2026-04-16T22:08:31.695262
mem_agent_002_0083,agent_002,Default memory (variant 2),conversation,0.64,2026-05-09T22:08:31.695262
mem_agent_002_0084,agent_002,Implemented Docker for consistent environments,decision,0.51,2027-02-05T22:08:31.695262
mem_agent_002_0085,agent_002,Docker containerizes applications for deployment (variant 3),fact,0.69,2026-06-04T22:08:31.695262
mem_agent_002_0086,agent_002,Unit tests improve code reliability and maintainability (variant 3),fact,0.49,2027-03-07T22:08:31.695262
mem_agent_002_0087,agent_002,Default memory,conversation,0.44,2026-07-30T22:08:31.695262
mem_agent_002_0088,agent_002,Default memory (variant 3),conversation,0.45,2026-09-30T22:08:31.695262
mem_agent_002_0089,agent_002,Default memory,conversation,0.51,2026-11-26T22:08:31.695262
mem_agent_002_0090,agent_002,Git enables collaborative software development,fact,0.53,2026-04-12T22:08:31.695262
mem_agent_002_0091,agent_002,Default memory (variant 3),conversation,0.37,2026-11-29T22:08:31.695262
mem_agent_002_0092,agent_002,Selected React for component reusability,decision,0.55,2027-02-03T22:08:31.695262
mem_agent_002_0093,agent_002,Default memory (variant 3),conversation,0.74,2027-02-24T22:08:31.695262
mem_agent_002_0094,agent_002,Added comprehensive test coverage,decision,0.41,2026-07-15T22:08:31.695262
mem_agent_002_0095,agent_002,Default memory (variant 2),conversation,0.73,2026-07-18T22:08:31.695262
mem_agent_002_0096,agent_002,Selected React for component reusability,decision,0.49,2027-01-23T22:08:31.695262
mem_agent_002_0097,agent_002,Default memory (variant 2),conversation,0.78,2027-02-16T22:08:31.695262
mem_agent_002_0098,agent_002,Default memory,conversation,0.41,2026-06-10T22:08:31.695262
mem_agent_002_0099,agent_002,Docker containerizes applications for deployment,fact,0.86,2026-11-10T22:08:31.695262
mem_agent_003_0000,agent_003,Different formats work for different topics,observation,0.43,2026-02-19T22:08:31.695262
mem_agent_003_0001,agent_003,Default memory (variant 3),conversation,0.59,2026-06-15T22:08:31.695262
mem_agent_003_0002,agent_003,User prefers to avoid jargon (variant 3),preference,0.34,2026-01-26T22:08:31.695262
mem_agent_003_0003,agent_003,Default memory (variant 3),conversation,0.53,2026-04-24T22:08:31.695262
mem_agent_003_0004,agent_003,Default memory,conversation,0.5,2026-01-27T22:08:31.695262
mem_agent_003_0005,agent_003,Complex topics need progressive disclosure,observation,0.47,2026-04-04T22:08:31.695262
mem_agent_003_0006,agent_003,Default memory,conversation,0.39,2026-08-04T22:08:31.695262
mem_agent_003_0007,agent_003,Complex topics need progressive disclosure (variant 3),observation,0.78,2026-04-13T22:08:31.695262
mem_agent_003_0008,agent_003,Default memory (variant 3),conversation,0.82,2026-10-24T22:08:31.695262
mem_agent_003_0009,agent_003,Different formats work for different topics (variant 3),observation,0.57,2026-04-27T22:08:31.695262
mem_agent_003_0010,agent_003,Readers engage more with personal stories,observation,0.41,2025-12-18T22:08:31.695262
mem_agent_003_0011,agent_003,Audience attention spans are limited,observation,0.61,2026-08-21T22:08:31.695262
mem_agent_003_0012,agent_003,Default memory (variant 2),conversation,0.32,2026-05-30T22:08:31.695262
mem_agent_003_0013,agent_003,User prefers conversational tone (variant 3),preference,0.4,2026-07-22T22:08:31.695262
mem_agent_003_0014,agent_003,Complex topics need progressive disclosure (variant 2),observation,0.38,2026-11-27T22:08:31.695262
mem_agent_003_0015,agent_003,User likes bullet points and summaries (variant 3),preference,0.95,2026-02-13T22:08:31.695262
mem_agent_003_0016,agent_003,Readers engage more with personal stories (variant 2),observation,0.68,2026-03-04T22:08:31.695262
mem_agent_003_0017,agent_003,User prefers examples over abstract concepts (variant 3),preference,0.59,2026-03-11T22:08:31.695262
mem_agent_003_0018,agent_003,User prefers to avoid jargon (variant 2),preference,0.46,2026-06-10T22:08:31.695262
mem_agent_003_0019,agent_003,Default memory (variant 3),conversation,0.5,2026-09-03T22:08:31.695262
mem_agent_003_0020,agent_003,User likes bullet points and summaries (variant 3),preference,0.92,2026-01-05T22:08:31.695262
mem_agent_003_0021,agent_003,Chose narrative structure for content,decision,0.89,2026-11-11T22:08:31.695262
mem_agent_003_0022,agent_003,User prefers examples over abstract concepts,preference,0.91,2026-01-26T22:08:31.695262
mem_agent_003_0023,agent_003,User prefers to avoid jargon,preference,0.44,2026-05-13T22:08:31.695262
mem_agent_003_0024,agent_003,Readers engage more with personal stories (variant 2),observation,0.66,2026-05-17T22:08:31.695262
mem_agent_003_0025,agent_003,User prefers conversational tone (variant 3),preference,0.49,2026-02-11T22:08:31.695262
mem_agent_003_0026,agent_003,Readers engage more with personal stories,observation,0.82,2026-06-17T22:08:31.695262
mem_agent_003_0027,agent_003,Technical content needs visual reinforcement (variant 2),observation,0.7,2026-10-06T22:08:31.695262
mem_agent_003_0028,agent_003,Default memory (variant 2),conversation,0.81,2026-07-09T22:08:31.695262
mem_agent_003_0029,agent_003,User wants shorter paragraphs,preference,1.0,2025-12-17T22:08:31.695262
mem_agent_003_0030,agent_003,Reviewed draft and provided feedback (variant 2),interaction,0.63,2026-02-08T22:08:31.695262
mem_agent_003_0031,agent_003,Default memory,conversation,0.41,2026-11-02T22:08:31.695262
mem_agent_003_0032,agent_003,User wants shorter paragraphs (variant 2),preference,0.89,2026-03-25T22:08:31.695262
mem_agent_003_0033,agent_003,Default memory,conversation,0.64,2025-12-20T22:08:31.695262
mem_agent_003_0034,agent_003,Readers engage more with personal stories,observation,0.75,2026-08-21T22:08:31.695262
mem_agent_003_0035,agent_003,Default memory (variant 3),conversation,0.93,2026-05-20T22:08:31.695262
mem_agent_003_0036,agent_003,User wants shorter paragraphs (variant 2),preference,0.84,2026-11-08T22:08:31.695262
mem_agent_003_0037,agent_003,Default memory,conversation,0.73,2025-12-29T22:08:31.695262
mem_agent_003_0038,agent_003,Default memory,conversation,0.61,2025-12-09T22:08:31.695262
mem_agent_003_0039,agent_003,User wants shorter paragraphs (variant 2),preference,0.94,2026-04-02T22:08:31.695262
mem_agent_003_0040,agent_003,User prefers to avoid jargon,preference,0.79,2026-04-15T22:08:31.695262
mem_agent_003_0041,agent_003,Different audiences need different communication styles (variant 3),fact,0.81,2026-12-06T22:08:31.695262
mem_agent_003_0042,agent_003,Technical content needs visual reinforcement,observation,0.98,2026-07-18T22:08:31.695262
mem_agent_003_0043,agent_003,Technical content needs visual reinforcement (variant 3),observation,0.56,2026-04-22T22:08:31.695262
mem_agent_003_0044,agent_003,Default memory,conversation,0.33,2026-08-22T22:08:31.695262
mem_agent_003_0045,agent_003,Clear structure improves comprehension,fact,0.96,2026-11-28T22:08:31.695262
mem_agent_003_0046,agent_003,Default memory (variant 3),conversation,0.87,2025-12-29T22:08:31.695262
mem_agent_003_0047,agent_003,Complex topics need progressive disclosure (variant 2),observation,0.57,2026-10-26T22:08:31.695262
mem_agent_003_0048,agent_003,Decided to use simpler vocabulary (variant 3),decision,0.46,2026-01-16T22:08:31.695262
mem_agent_003_0049,agent_003,Audience attention spans are limited (variant 3),observation,0.89,2026-08-05T22:08:31.695262
mem_agent_003_0050,agent_003,Default memory (variant 3),conversation,0.33,2026-10-31T22:08:31.695262
mem_agent_003_0051,agent_003,Default memory,conversation,0.85,2025-12-31T22:08:31.695262
mem_agent_003_0052,agent_003,Readers engage more with personal stories,observation,0.8,2026-01-08T22:08:31.695262
mem_agent_003_0053,agent_003,Different formats work for different topics,observation,0.77,2026-05-22T22:08:31.695262
mem_agent_003_0054,agent_003,Default memory (variant 3),conversation,0.97,2026-05-14T22:08:31.695262
mem_agent_003_0055,agent_003,Default memory,conversation,0.31,2026-08-30T22:08:31.695262
mem_agent_003_0056,agent_003,Default memory (variant 2),conversation,0.51,2026-04-28T22:08:31.695262
mem_agent_003_0057,agent_003,Default memory (variant 3),conversation,0.78,2026-04-28T22:08:31.695262
mem_agent_003_0058,agent_003,Audience attention spans are limited (variant 2),observation,0.34,2026-07-31T22:08:31.695262
mem_agent_003_0059,agent_003,Default memory,conversation,0.82,2026-09-28T22:08:31.695262
mem_agent_003_0060,agent_003,Complex topics need progressive disclosure (variant 3),observation,0.43,2026-09-27T22:08:31.695262
mem_agent_003_0061,agent_003,Clear structure improves comprehension (variant 3),fact,0.99,2026-02-01T22:08:31.695262
mem_agent_003_0062,agent_003,Technical content needs visual reinforcement (variant 2),observation,0.5,2026-11-06T22:08:31.695262
mem_agent_003_0063,agent_003,User wants shorter paragraphs (variant 3),preference,0.62,2026-11-12T22:08:31.695262
mem_agent_003_0064,agent_003,Audience attention spans are limited,observation,0.56,2026-09-30T22:08:31.695262
mem_agent_003_0065,agent_003,Default memory (variant 3),conversation,0.38,2026-03-16T22:08:31.695262
mem_agent_003_0066,agent_003,Default memory (variant 2),conversation,0.7,2026-07-18T22:08:31.695262
mem_agent_003_0067,agent_003,Chose narrative structure for content (variant 2),decision,0.79,2026-10-22T22:08:31.695262
mem_agent_003_0068,agent_003,User likes bullet points and summaries (variant 2),preference,0.88,2026-09-29T22:08:31.695262
mem_agent_003_0069,agent_003,User wants shorter paragraphs,preference,0.8,2026-04-11T22:08:31.695262
mem_agent_003_0070,agent_003,Default memory,conversation,0.92,2026-08-07T22:08:31.695262
mem_agent_003_0071,agent_003,Default memory (variant 3),conversation,0.7,2025-12-12T22:08:31.695262
mem_agent_003_0072,agent_003,Readers engage more with personal stories (variant 2),observation,0.83,2026-06-23T22:08:31.695262
mem_agent_003_0073,agent_003,Readers engage more with personal stories (variant 3),observation,0.55,2026-10-03T22:08:31.695262
mem_agent_003_0074,agent_003,Audience attention spans are limited (variant 2),observation,0.55,2025-12-23T22:08:31.695262
mem_agent_003_0075,agent_003,Complex topics need progressive disclosure (variant 3),observation,0.46,2026-04-01T22:08:31.695262
mem_agent_003_0076,agent_003,Default memory (variant 2),conversation,0.9,2026-05-02T22:08:31.695262
mem_agent_003_0077,agent_003,Technical content needs visual reinforcement (variant 3),observation,0.91,2026-02-13T22:08:31.695262
mem_agent_003_0078,agent_003,User prefers conversational tone,preference,0.78,2026-02-26T22:08:31.695262
mem_agent_003_0079,agent_003,User prefers conversational tone (variant 2),preference,0.92,2026-08-26T22:08:31.695262
mem_agent_003_0080,agent_003,Default memory,conversation,0.31,2026-08-31T22:08:31.695262
mem_agent_003_0081,agent_003,Different formats work for different topics,observation,0.31,2026-10-09T22:08:31.695262
mem_agent_003_0082,agent_003,Default memory (variant 3),conversation,0.51,2026-07-19T22:08:31.695262
mem_agent_003_0083,agent_003,User prefers to avoid jargon (variant 3),preference,0.69,2026-05-09T22:08:31.695262
mem_agent_003_0084,agent_003,Default memory (variant 2),conversation,0.31,2026-11-10T22:08:31.695262
mem_agent_003_0085,agent_003,User prefers examples over abstract concepts (variant 2),preference,0.62,2026-09-11T22:08:31.695262
mem_agent_003_0086,agent_003,Active voice is more engaging than passive voice (variant 3),fact,0.83,2026-05-12T22:08:31.695262
mem_agent_003_0087,agent_003,Default memory,conversation,0.7,2026-02-03T22:08:31.695262
mem_agent_003_0088,agent_003,Readers engage more with personal stories (variant 2),observation,0.75,2026-03-19T22:08:31.695262
mem_agent_003_0089,agent_003,Different formats work for different topics,observation,0.97,2026-05-20T22:08:31.695262
mem_agent_003_0090,agent_003,User wants shorter paragraphs,preference,0.6,2026-02-17T22:08:31.695262
mem_agent_003_0091,agent_003,Default memory,conversation,0.8,2025-12-23T22:08:31.695262
mem_agent_003_0092,agent_003,Technical content needs visual reinforcement (variant 3),observation,0.56,2026-09-26T22:08:31.695262
mem_agent_003_0093,agent_003,Default memory (variant 3),conversation,0.89,2026-07-03T22:08:31.695262
mem_agent_003_0094,agent_003,Default memory (variant 3),conversation,0.8,2026-10-15T22:08:31.695262
mem_agent_003_0095,agent_003,Different formats work for different topics (variant 2),observation,0.59,2026-06-18T22:08:31.695262
mem_agent_003_0096,agent_003,User likes bullet points and summaries (variant 3),preference,0.94,2025-12-11T22:08:31.695262
mem_agent_003_0097,agent_003,Default memory (variant 2),conversation,0.91,2026-03-16T22:08:31.695262
mem_agent_003_0098,agent_003,User wants shorter paragraphs (variant 2),preference,0.35,2025-12-30T22:08:31.695262
mem_agent_003_0099,agent_003,User prefers examples over abstract concepts,preference,0.67,2026-04-10T22:08:31.695262
mem_agent_004_0000,agent_004,Adopted feature branch workflow,decision,0.55,2027-03-12T22:08:31.695262
mem_agent_004_0001,agent_004,Default memory (variant 3),conversation,0.38,2026-10-26T22:08:31.695262
mem_agent_004_0002,agent_004,Default memory,conversation,0.64,2026-11-05T22:08:31.695262
mem_agent_004_0003,agent_004,Docker containerizes applications for deployment,fact,0.35,2027-02-08T22:08:31.695262
mem_agent_004_0004,agent_004,User prefers modular architecture patterns (variant 3),preference,0.57,2026-12-29T22:08:31.695262
mem_agent_004_0005,agent_004,Default memory (variant 2),conversation,0.4,2026-08-07T22:08:31.695262
mem_agent_004_0006,agent_004,Git enables collaborative software development (variant 2),fact,0.99,2026-05-12T22:08:31.695262
mem_agent_004_0007,agent_004,React is a JavaScript library for building UIs (variant 3),fact,0.88,2026-07-09T22:08:31.695262
mem_agent_004_0008,agent_004,Default memory,conversation,0.83,2026-08-12T22:08:31.695262
mem_agent_004_0009,agent_004,Default memory (variant 2),conversation,0.83,2026-04-26T22:08:31.695262
mem_agent_004_0010,agent_004,User reported bug in form validation (variant 2),interaction,0.85,2027-01-30T22:08:31.695262
mem_agent_004_0011,agent_004,Chose TypeScript for type safety (variant 2),decision,0.35,2026-11-30T22:08:31.695262
mem_agent_004_0012,agent_004,Default memory (variant 2),conversation,0.91,2026-05-26T22:08:31.695262
mem_agent_004_0013,agent_004,TypeScript provides static typing for JavaScript (variant 2),fact,0.86,2027-04-08T22:08:31.695262
mem_agent_004_0014,agent_004,Default memory (variant 3),conversation,0.35,2026-05-17T22:08:31.695262
mem_agent_004_0015,agent_004,Docker containerizes applications for deployment,fact,0.4,2026-07-02T22:08:31.695262
mem_agent_004_0016,agent_004,Docker containerizes applications for deployment (variant 2),fact,0.98,2026-08-04T22:08:31.695262
mem_agent_004_0017,agent_004,Default memory (variant 2),conversation,0.5,2026-08-08T22:08:31.695262
mem_agent_004_0018,agent_004,Docker containerizes applications for deployment,fact,0.33,2026-11-15T22:08:31.695262
mem_agent_004_0019,agent_004,Chose TypeScript for type safety (variant 3),decision,0.92,2026-07-09T22:08:31.695262
mem_agent_004_0020,agent_004,Default memory (variant 3),conversation,0.43,2027-01-26T22:08:31.695262
mem_agent_004_0021,agent_004,Default memory (variant 2),conversation,0.79,2027-01-28T22:08:31.695262
mem_agent_004_0022,agent_004,Default memory (variant 2),conversation,0.46,2026-06-05T22:08:31.695262
mem_agent_004_0023,agent_004,TypeScript provides static typing for JavaScript,fact,0.44,2026-12-04T22:08:31.695262
mem_agent_004_0024,agent_004,React is a JavaScript library for building UIs (variant 3),fact,0.74,2026-08-07T22:08:31.695262
mem_agent_004_0025,agent_004,Default memory,conversation,0.99,2026-10-09T22:08:31.695262
mem_agent_004_0026,agent_004,Selected React for component reusability (variant 3),decision,0.42,2026-09-10T22:08:31.695262
mem_agent_004_0027,agent_004,Docker containerizes applications for deployment (variant 2),fact,0.5,2026-10-07T22:08:31.695262
mem_agent_004_0028,agent_004,"User prefers clean, readable code (variant 2)",preference,0.85,2026-09-30T22:08:31.695262
mem_agent_004_0029,agent_004,Chose TypeScript for type safety,decision,0.5,2026-09-11T22:08:31.695262
mem_agent_004_0030,agent_004,Git enables collaborative software development (variant 3),fact,0.83,2027-03-14T22:08:31.695262
mem_agent_004_0031,agent_004,Added comprehensive test coverage (variant 2),decision,0.47,2026-08-31T22:08:31.695262
mem_agent_004_0032,agent_004,Default memory (variant 2),conversation,0.39,2026-11-17T22:08:31.695262
mem_agent_004_0033,agent_004,Added comprehensive test coverage,decision,0.95,2027-04-04T22:08:31.695262
mem_agent_004_0034,agent_004,Docker containerizes applications for deployment,fact,0.83,2026-08-12T22:08:31.695262
mem_agent_004_0035,agent_004,Test suite execution time growing (variant 2),observation,0.74,2026-05-26T22:08:31.695262
mem_agent_004_0036,agent_004,Docker containerizes applications for deployment (variant 2),fact,0.64,2026-08-06T22:08:31.695262
mem_agent_004_0037,agent_004,Chose TypeScript for type safety (variant 3),decision,0.59,2026-06-21T22:08:31.695262
mem_agent_004_0038,agent_004,Adopted feature branch workflow (variant 2),decision,0.61,2026-06-28T22:08:31.695262
mem_agent_004_0039,agent_004,User prefers test-driven development approach (variant 3),preference,0.86,2026-09-18T22:08:31.695262
mem_agent_004_0040,agent_004,Adopted feature branch workflow (variant 2),decision,0.92,2026-06-01T22:08:31.695262
mem_agent_004_0041,agent_004,Implemented Docker for consistent environments (variant 2),decision,0.42,2026-07-14T22:08:31.695262
mem_agent_004_0042,agent_004,TypeScript provides static typing for JavaScript (variant 2),fact,0.43,2026-08-14T22:08:31.695262
mem_agent_004_0043,agent_004,Selected React for component reusability (variant 3),decision,0.88,2027-04-24T22:08:31.695262
mem_agent_004_0044,agent_004,Added comprehensive test coverage (variant 3),decision,0.94,2026-10-19T22:08:31.695262
mem_agent_004_0045,agent_004,React is a JavaScript library for building UIs (variant 3),fact,0.39,2027-03-12T22:08:31.695262
mem_agent_004_0046,agent_004,Default memory (variant 3),conversation,0.71,2026-10-18T22:08:31.695262
mem_agent_004_0047,agent_004,Docker containerizes applications for deployment (variant 2),fact,1.0,2026-10-26T22:08:31.695262
mem_agent_004_0048,agent_004,Test suite execution time growing (variant 3),observation,0.56,2027-03-09T22:08:31.695262
mem_agent_004_0049,agent_004,Added comprehensive test coverage (variant 2),decision,0.83,2026-12-03T22:08:31.695262
mem_agent_004_0050,agent_004,Unit tests improve code reliability and maintainability (variant 2),fact,0.81,2026-05-09T22:08:31.695262
mem_agent_004_0051,agent_004,Default memory (variant 3),conversation,0.69,2026-11-17T22:08:31.695262
mem_agent_004_0052,agent_004,Chose TypeScript for type safety (variant 2),decision,0.73,2027-03-28T22:08:31.695262
mem_agent_004_0053,agent_004,Default memory (variant 3),conversation,0.56,2026-11-06T22:08:31.695262
mem_agent_004_0054,agent_004,Git enables collaborative software development,fact,0.45,2026-10-19T22:08:31.695262
mem_agent_004_0055,agent_004,Default memory (variant 2),conversation,0.83,2027-02-23T22:08:31.695262
mem_agent_004_0056,agent_004,Unit tests improve code reliability and maintainability (variant 2),fact,0.56,2027-02-22T22:08:31.695262
mem_agent_004_0057,agent_004,Implemented Docker for consistent environments (variant 3),decision,0.8,2026-12-02T22:08:31.695262
mem_agent_004_0058,agent_004,Adopted feature branch workflow (variant 3),decision,0.79,2026-12-18T22:08:31.695262
mem_agent_004_0059,agent_004,Git enables collaborative software development (variant 3),fact,0.81,2026-09-08T22:08:31.695262
mem_agent_004_0060,agent_004,Default memory (variant 2),conversation,0.63,2027-01-30T22:08:31.695262
mem_agent_004_0061,agent_004,Implemented Docker for consistent environments (variant 2),decision,0.64,2026-09-05T22:08:31.695262
mem_agent_004_0062,agent_004,Docker containerizes applications for deployment,fact,0.82,2026-12-05T22:08:31.695262
mem_agent_004_0063,agent_004,Default memory (variant 3),conversation,0.93,2027-03-20T22:08:31.695262
mem_agent_004_0064,agent_004,Default memory (variant 3),conversation,0.52,2026-11-03T22:08:31.695262
mem_agent_004_0065,agent_004,Added comprehensive test coverage,decision,0.61,2026-11-30T22:08:31.695262
mem_agent_004_0066,agent_004,Selected React for component reusability (variant 2),decision,0.77,2026-10-05T22:08:31.695262
mem_agent_004_0067,agent_004,Git enables collaborative software development (variant 3),fact,0.43,2026-11-18T22:08:31.695262
mem_agent_004_0068,agent_004,Default memory (variant 3),conversation,0.46,2027-03-28T22:08:31.695262
mem_agent_004_0069,agent_004,Default memory (variant 3),conversation,0.83,2026-09-02T22:08:31.695262
mem_agent_004_0070,agent_004,Docker containerizes applications for deployment,fact,0.91,2026-09-09T22:08:31.695262
mem_agent_004_0071,agent_004,Docker containerizes applications for deployment,fact,0.42,2026-10-28T22:08:31.695262
mem_agent_004_0072,agent_004,Added comprehensive test coverage (variant 3),decision,0.45,2027-01-12T22:08:31.695262
mem_agent_004_0073,agent_004,Default memory (variant 2),conversation,0.49,2026-09-22T22:08:31.695262
mem_agent_004_0074,agent_004,Default memory (variant 2),conversation,0.57,2026-07-11T22:08:31.695262
mem_agent_004_0075,agent_004,Default memory,conversation,0.3,2027-02-05T22:08:31.695262
mem_agent_004_0076,agent_004,Selected React for component reusability,decision,0.98,2026-05-04T22:08:31.695262
mem_agent_004_0077,agent_004,Default memory (variant 3),conversation,0.93,2026-08-25T22:08:31.695262
mem_agent_004_0078,agent_004,Discussed refactoring strategy for legacy code,interaction,0.72,2027-03-12T22:08:31.695262
mem_agent_004_0079,agent_004,Git enables collaborative software development (variant 3),fact,0.32,2026-06-02T22:08:31.695262
mem_agent_004_0080,agent_004,React is a JavaScript library for building UIs,fact,0.99,2026-07-02T22:08:31.695262
mem_agent_004_0081,agent_004,Discussed refactoring strategy for legacy code,interaction,0.68,2026-08-23T22:08:31.695262
mem_agent_004_0082,agent_004,Selected React for component reusability,decision,0.83,2027-01-17T22:08:31.695262
mem_agent_004_0083,agent_004,Default memory,conversation,0.48,2027-04-02T22:08:31.695262
mem_agent_004_0084,agent_004,Implemented Docker for consistent environments,decision,0.94,2027-02-01T22:08:31.695262
mem_agent_004_0085,agent_004,Default memory (variant 2),conversation,0.55,2026-06-08T22:08:31.695262
mem_agent_004_0086,agent_004,Default memory (variant 2),conversation,0.49,2027-01-15T22:08:31.695262
mem_agent_004_0087,agent_004,Git enables collaborative software development (variant 2),fact,0.85,2026-11-12T22:08:31.695262
mem_agent_004_0088,agent_004,React is a JavaScript library for building UIs (variant 3),fact,0.46,2027-04-20T22:08:31.695262
mem_agent_004_0089,agent_004,Performance bottlenecks in core modules,observation,0.82,2026-06-08T22:08:31.695262
mem_agent_004_0090,agent_004,Default memory,conversation,0.51,2026-06-24T22:08:31.695262
mem_agent_004_0091,agent_004,Implemented Docker for consistent environments (variant 3),decision,0.72,2027-01-12T22:08:31.695262
mem_agent_004_0092,agent_004,Added comprehensive test coverage,decision,0.84,2027-01-08T22:08:31.695262
mem_agent_004_0093,agent_004,Default memory (variant 3),conversation,0.65,2027-03-20T22:08:31.695262
mem_agent_004_0094,agent_004,Unit tests improve code reliability and maintainability (variant 3),fact,0.38,2027-02-06T22:08:31.695262
mem_agent_004_0095,agent_004,Default memory (variant 2),conversation,0.56,2027-03-29T22:08:31.695262
mem_agent_004_0096,agent_004,Default memory (variant 2),conversation,0.55,2026-08-06T22:08:31.695262
mem_agent_004_0097,agent_004,Default memory,conversation,0.44,2026-12-03T22:08:31.695262
mem_agent_004_0098,agent_004,Implemented Docker for consistent environments (variant 2),decision,0.61,2027-04-17T22:08:31.695262
mem_agent_004_0099,agent_004,Selected React for component reusability,decision,0.7,2026-11-17T22:08:31.695262
